Plan Quality Metric Component	Objective(s)	Result		Raw Score	Max Score	Performance	PlanIQ Adjusted Performance	Comments
[PTV_1] D[99.0%] (Gy)	> 19 [≥ 20]				12 *			
[PTV_2] D[99.0%] (Gy)	> 19 [≥ 20]				12 *			
[PTV_3] D[99.0%] (Gy)	> 19 [≥ 20]				12 *			
[PTV_4] D[99.0%] (Gy)	> 19 [≥ 20]				10 *			
[PTV_5] D[99.0%] (Gy)	> 19 [≥ 20]				12 *			
[PTV_ALL] Conformality Index [20.0Gy]	< 1.4 [≤ 1.2]				3 *			
[BRAIN - PTV] V[10.0Gy] (cc)	< 30 [≤ 10]				5 *			
[BRAIN STEM] V[2.0Gy] (cc)	< 0.5 [≤ 0.25]				15 *			
[LOW DOSE GHOST] V[10.0Gy] (cc)	< 0.75 [≤ 0.25]				5 *			
[OPTIC STRUCTURES] V[1.0Gy] (cc)	< 0.75 [≤ 0.25]				14 *			
Total [10 Metrics]				0.00 *	0.00 *			
